NAME,ESSROUND,EDITION,PRODDATE,IDNO,CNTRY,RESCLQ,RESRELQ,RESBAB,RESUNDQ,PREINTF,PREWHP,PRESD,PREPPIL,PREOREL,PRENREL,PREDK,PRENAP,PRENA,RESSWCD,INTLNGA,INTNUM,INTAGEA,INTGNDR,INTAGE,INTNUM1
ESS9INTe03,9,3,18.12.2020,35193,NL,3,1,4,5,2,0,0,0,0,0,0,1,0,1,DUT,905,52,2,NA,905
ESS9INTe03,9,3,18.12.2020,35195,NL,3,2,5,4,2,0,0,0,0,0,0,1,0,1,DUT,911,62,1,NA,1631
ESS9INTe03,9,3,18.12.2020,35215,NL,5,3,4,3,2,0,0,0,0,0,0,1,0,1,DUT,803,59,1,NA,715
ESS9INTe03,9,3,18.12.2020,35306,NL,1,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1008,57,1,NA,743
ESS9INTe03,9,3,18.12.2020,35340,NL,2,1,4,4,2,0,0,0,0,0,0,1,0,1,DUT,1848,60,1,NA,1848
ESS9INTe03,9,3,18.12.2020,35358,NL,2,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,437,46,2,NA,437
ESS9INTe03,9,3,18.12.2020,35390,NL,2,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,111,60,1,NA,111
ESS9INTe03,9,3,18.12.2020,35419,NL,4,1,4,4,2,0,0,0,0,0,0,1,0,1,DUT,1371,52,2,NA,352
ESS9INTe03,9,3,18.12.2020,35442,NL,1,1,4,4,2,0,0,0,0,0,0,1,0,1,DUT,2367,62,2,NA,2367
ESS9INTe03,9,3,18.12.2020,35468,NL,3,1,4,5,2,0,0,0,0,0,0,1,0,1,DUT,1371,52,2,NA,352
ESS9INTe03,9,3,18.12.2020,35486,NL,3,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1371,52,2,NA,1371
ESS9INTe03,9,3,18.12.2020,35503,NL,2,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1008,57,1,NA,1008
ESS9INTe03,9,3,18.12.2020,35534,NL,3,3,4,4,2,0,0,0,0,0,0,1,0,1,DUT,1115,66,1,NA,1115
ESS9INTe03,9,3,18.12.2020,35543,NL,2,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,617,56,2,NA,617
ESS9INTe03,9,3,18.12.2020,35549,NL,1,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1906,49,2,NA,1906
ESS9INTe03,9,3,18.12.2020,35601,NL,3,4,5,4,2,0,0,0,0,0,0,1,0,1,DUT,1427,49,2,NA,1427
ESS9INTe03,9,3,18.12.2020,35627,NL,2,1,5,4,2,0,0,0,0,0,0,1,0,1,DUT,522,26,1,NA,522
ESS9INTe03,9,3,18.12.2020,35728,NL,3,3,5,5,2,0,0,0,0,0,0,1,0,1,DUT,216,54,2,NA,216
